sensor_id,timestamp,pressure,temperature,flow_rate,fuel_level,location,status
S001,2024-01-01 00:00:00,3.98,36.24,127.37,83.0,Pump Station Alpha,warning
S001,2024-01-01 00:30:00,4.21,38.16,107.1,80.84,Pump Station Alpha,normal
S001,2024-01-01 01:00:00,4.28,39.29,134.92,81.15,Pump Station Alpha,normal
S001,2024-01-01 01:30:00,4.72,39.83,110.88,86.67,Pump Station Alpha,normal
S001,2024-01-01 02:00:00,4.31,35.79,128.29,84.97,Pump Station Alpha,normal
S001,2024-01-01 02:30:00,4.18,39.6,113.48,88.04,Pump Station Alpha,normal
S001,2024-01-01 03:00:00,4.96,36.94,119.42,83.3,Pump Station Alpha,warning
S001,2024-01-01 03:30:00,4.22,39.29,133.17,84.58,Pump Station Alpha,normal
S001,2024-01-01 04:00:00,4.49,35.39,113.3,85.13,Pump Station Alpha,normal
S001,2024-01-01 04:30:00,4.59,37.62,106.43,84.24,Pump Station Alpha,normal
S001,2024-01-01 05:00:00,4.82,37.41,128.2,84.95,Pump Station Alpha,normal
S001,2024-01-01 05:30:00,4.15,39.57,124.15,84.64,Pump Station Alpha,normal
S001,2024-01-01 06:00:00,4.85,40.55,123.69,85.6,Pump Station Alpha,normal
S001,2024-01-01 06:30:00,4.95,36.99,131.44,81.19,Pump Station Alpha,warning
S001,2024-01-01 07:00:00,4.8,38.32,116.66,86.94,Pump Station Alpha,normal
S001,2024-01-01 07:30:00,4.29,37.14,114.93,81.19,Pump Station Alpha,normal
S001,2024-01-01 08:00:00,4.02,37.46,114.84,85.62,Pump Station Alpha,warning
S001,2024-01-01 08:30:00,4.59,40.29,102.4,82.76,Pump Station Alpha,normal
S001,2024-01-01 09:00:00,4.62,40.35,107.95,87.23,Pump Station Alpha,normal
S001,2024-01-01 09:30:00,4.89,39.44,120.9,82.63,Pump Station Alpha,warning
S001,2024-01-01 10:00:00,3.99,39.12,102.69,88.77,Pump Station Alpha,warning
S001,2024-01-01 10:30:00,4.68,35.45,129.92,84.54,Pump Station Alpha,normal
S001,2024-01-01 11:00:00,4.47,37.65,106.47,86.13,Pump Station Alpha,normal
S001,2024-01-01 11:30:00,4.37,35.41,115.86,82.63,Pump Station Alpha,normal
S001,2024-01-01 12:00:00,4.24,40.35,131.97,81.03,Pump Station Alpha,normal
S001,2024-01-01 12:30:00,4.4,35.23,112.52,84.3,Pump Station Alpha,normal
S001,2024-01-01 13:00:00,4.44,36.08,132.31,86.64,Pump Station Alpha,normal
S001,2024-01-01 13:30:00,4.44,40.69,124.55,83.18,Pump Station Alpha,normal
S001,2024-01-01 14:00:00,4.74,40.06,123.78,86.65,Pump Station Alpha,normal
S001,2024-01-01 14:30:00,4.56,39.73,134.98,80.96,Pump Station Alpha,normal
S001,2024-01-01 15:00:00,4.16,35.35,130.59,88.41,Pump Station Alpha,normal
S001,2024-01-01 15:30:00,4.25,35.84,102.77,83.41,Pump Station Alpha,normal
S001,2024-01-01 16:00:00,4.7,40.0,123.49,82.91,Pump Station Alpha,normal
S001,2024-01-01 16:30:00,4.69,37.75,102.89,86.27,Pump Station Alpha,normal
S001,2024-01-01 17:00:00,4.14,40.32,109.47,84.02,Pump Station Alpha,warning
S001,2024-01-01 17:30:00,4.5,38.28,132.66,87.86,Pump Station Alpha,normal
S001,2024-01-01 18:00:00,4.41,39.74,127.27,82.55,Pump Station Alpha,normal
S001,2024-01-01 18:30:00,4.95,35.79,113.03,85.19,Pump Station Alpha,warning
S001,2024-01-01 19:00:00,4.19,40.64,114.83,86.06,Pump Station Alpha,normal
S001,2024-01-01 19:30:00,4.67,39.19,122.51,83.32,Pump Station Alpha,normal
S001,2024-01-01 20:00:00,4.32,39.3,137.65,87.41,Pump Station Alpha,normal
S001,2024-01-01 20:30:00,4.58,39.73,108.65,82.38,Pump Station Alpha,normal
S001,2024-01-01 21:00:00,4.99,37.42,126.1,82.4,Pump Station Alpha,warning
S001,2024-01-01 21:30:00,4.07,37.21,113.92,80.99,Pump Station Alpha,warning
S001,2024-01-01 22:00:00,4.54,40.66,104.3,88.17,Pump Station Alpha,normal
S001,2024-01-01 22:30:00,4.96,40.36,121.47,82.5,Pump Station Alpha,warning
S001,2024-01-01 23:00:00,3.97,38.05,113.78,84.18,Pump Station Alpha,warning
S001,2024-01-01 23:30:00,4.5,39.39,126.5,85.49,Pump Station Alpha,normal
S001,2024-01-02 00:00:00,4.28,37.38,114.61,82.2,Pump Station Alpha,normal
S001,2024-01-02 00:30:00,4.59,39.65,135.68,81.6,Pump Station Alpha,normal
S001,2024-01-02 01:00:00,4.45,39.95,122.07,87.85,Pump Station Alpha,normal
S001,2024-01-02 01:30:00,4.54,38.07,103.41,84.5,Pump Station Alpha,normal
S001,2024-01-02 02:00:00,4.17,38.43,123.59,84.99,Pump Station Alpha,normal
S001,2024-01-02 02:30:00,4.03,38.34,108.67,81.0,Pump Station Alpha,warning
S001,2024-01-02 03:00:00,4.03,35.62,129.11,87.3,Pump Station Alpha,warning
S001,2024-01-02 03:30:00,4.87,38.79,105.7,81.39,Pump Station Alpha,warning
S001,2024-01-02 04:00:00,4.04,36.78,134.48,87.09,Pump Station Alpha,warning
S001,2024-01-02 04:30:00,4.91,40.59,115.03,87.97,Pump Station Alpha,warning
S001,2024-01-02 05:00:00,4.29,39.37,120.68,81.22,Pump Station Alpha,normal
S001,2024-01-02 05:30:00,4.97,40.99,110.55,88.2,Pump Station Alpha,warning
S001,2024-01-02 06:00:00,4.6,37.85,126.92,86.25,Pump Station Alpha,normal
S001,2024-01-02 06:30:00,4.73,37.14,132.26,83.67,Pump Station Alpha,normal
S001,2024-01-02 07:00:00,4.14,36.79,109.27,88.3,Pump Station Alpha,warning
S001,2024-01-02 07:30:00,4.75,39.92,110.82,82.35,Pump Station Alpha,normal
S001,2024-01-02 08:00:00,4.5,39.36,113.12,85.57,Pump Station Alpha,normal
S001,2024-01-02 08:30:00,4.84,35.11,114.86,83.14,Pump Station Alpha,normal
S001,2024-01-02 09:00:00,4.55,39.77,129.81,81.02,Pump Station Alpha,normal
S001,2024-01-02 09:30:00,4.36,38.08,104.06,85.58,Pump Station Alpha,normal
S001,2024-01-02 10:00:00,4.22,35.54,116.73,88.52,Pump Station Alpha,normal
S001,2024-01-02 10:30:00,4.99,39.68,137.19,83.9,Pump Station Alpha,warning
S001,2024-01-02 11:00:00,4.34,39.87,116.71,81.09,Pump Station Alpha,normal
S001,2024-01-02 11:30:00,3.97,37.67,121.2,83.77,Pump Station Alpha,warning
S001,2024-01-02 12:00:00,4.83,36.14,113.62,82.83,Pump Station Alpha,normal
S001,2024-01-02 12:30:00,4.38,40.57,117.52,81.86,Pump Station Alpha,normal
