sensor_id,timestamp,pressure,temperature,flow_rate,fuel_level,location,status
S002,2024-01-01 00:00:00,5.11,39.01,99.45,69.63,Pump Station Beta,normal
S002,2024-01-01 00:30:00,5.49,42.62,83.08,71.08,Pump Station Beta,normal
S002,2024-01-01 01:00:00,5.51,41.79,81.54,74.49,Pump Station Beta,normal
S002,2024-01-01 01:30:00,5.56,44.06,94.39,74.4,Pump Station Beta,normal
S002,2024-01-01 02:00:00,5.78,41.37,99.68,69.65,Pump Station Beta,warning
S002,2024-01-01 02:30:00,5.36,39.47,98.52,71.51,Pump Station Beta,normal
S002,2024-01-01 03:00:00,4.88,44.46,102.42,71.35,Pump Station Beta,normal
S002,2024-01-01 03:30:00,4.99,40.95,106.75,71.12,Pump Station Beta,normal
S002,2024-01-01 04:00:00,4.58,42.48,83.49,68.46,Pump Station Beta,warning
S002,2024-01-01 04:30:00,5.0,40.65,101.6,72.6,Pump Station Beta,normal
S002,2024-01-01 05:00:00,4.7,44.87,90.41,75.57,Pump Station Beta,warning
S002,2024-01-01 05:30:00,4.91,44.94,98.71,75.31,Pump Station Beta,normal
S002,2024-01-01 06:00:00,5.79,41.08,96.75,70.08,Pump Station Beta,warning
S002,2024-01-01 06:30:00,5.4,44.01,96.02,70.19,Pump Station Beta,normal
S002,2024-01-01 07:00:00,5.02,42.22,97.12,69.17,Pump Station Beta,normal
S002,2024-01-01 07:30:00,5.05,41.55,102.41,70.59,Pump Station Beta,normal
S002,2024-01-01 08:00:00,5.66,44.07,106.54,72.92,Pump Station Beta,warning
S002,2024-01-01 08:30:00,5.43,44.11,99.57,74.99,Pump Station Beta,normal
S002,2024-01-01 09:00:00,4.75,43.58,89.35,69.17,Pump Station Beta,warning
S002,2024-01-01 09:30:00,5.05,41.42,108.35,69.77,Pump Station Beta,normal
S002,2024-01-01 10:00:00,5.43,43.86,94.97,73.65,Pump Station Beta,normal
S002,2024-01-01 10:30:00,4.92,41.06,106.22,68.89,Pump Station Beta,normal
S002,2024-01-01 11:00:00,4.94,44.23,108.31,74.83,Pump Station Beta,normal
S002,2024-01-01 11:30:00,5.18,44.44,103.43,71.68,Pump Station Beta,normal
S002,2024-01-01 12:00:00,5.23,41.8,99.05,73.24,Pump Station Beta,normal
S002,2024-01-01 12:30:00,4.86,44.64,107.27,71.48,Pump Station Beta,normal
S002,2024-01-01 13:00:00,5.17,42.84,94.49,71.68,Pump Station Beta,normal
S002,2024-01-01 13:30:00,4.78,39.38,96.02,73.41,Pump Station Beta,warning
S002,2024-01-01 14:00:00,5.75,39.92,103.63,72.65,Pump Station Beta,warning
S002,2024-01-01 14:30:00,4.82,42.33,93.48,74.66,Pump Station Beta,normal
S002,2024-01-01 15:00:00,5.24,39.59,98.4,74.55,Pump Station Beta,normal
S002,2024-01-01 15:30:00,5.46,44.81,91.9,72.97,Pump Station Beta,normal
S002,2024-01-01 16:00:00,5.5,44.78,89.86,69.84,Pump Station Beta,normal
S002,2024-01-01 16:30:00,5.36,42.85,100.24,73.67,Pump Station Beta,normal
S002,2024-01-01 17:00:00,5.6,44.44,89.61,70.68,Pump Station Beta,normal
S002,2024-01-01 17:30:00,5.72,45.2,102.49,73.37,Pump Station Beta,warning
